symboling,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,normalized-losses,fuel-type_gas,aspiration_turbo,num-of-doors_two,engine-location_rear,fwd,rwd
3,95.9,173.2,66.3,50.2,2818,4,156,3.59,3.86,7.0,145,5000,19,24,12764,155.5551102204409,1,1,1,0,0,1
3,89.5,168.9,65.0,51.6,2756,6,194,3.74,2.9,9.5,207,5900,17,25,32528,155.5551102204409,1,0,1,1,0,1
3,89.5,168.9,65.0,51.6,2756,6,194,3.74,2.9,9.5,207,5900,17,25,34028,155.5551102204409,1,0,1,1,0,1
3,89.5,168.9,65.0,51.6,2800,6,194,3.74,2.9,9.5,207,5900,17,25,37028,155.5551102204409,1,0,1,1,0,1
0,96.1,181.5,66.5,55.2,2579,4,132,3.46,3.9,8.7,0,0,23,31,9295,109.75941883767536,1,0,0,0,1,0
2,96.1,176.8,66.6,50.5,2460,4,132,3.46,3.9,8.7,0,0,23,31,9895,140.28987975951904,1,0,1,0,1,0
-1,104.5,187.8,66.5,54.1,3151,6,161,3.27,3.35,9.2,156,5200,19,24,15750,94.49418837675351,1,0,0,0,0,1
3,94.5,159.3,64.2,55.6,2254,4,109,3.19,3.4,8.5,90,5500,24,29,11595,155.5551102204409,1,0,1,0,1,0
0,100.4,180.2,66.9,55.1,2661,5,136,3.19,3.4,8.5,110,5500,19,24,13295,109.75941883767536,1,0,0,0,1,0
0,100.4,180.2,66.9,55.1,2579,4,97,3.01,3.4,23.0,68,4500,33,38,13845,109.75941883767536,0,1,0,0,1,0
0,100.4,183.1,66.9,55.1,2563,4,109,3.19,3.4,9.0,88,5500,25,31,12290,109.75941883767536,1,0,0,0,1,0
2,99.8,176.6,66.2,54.3,2337,4,109,3.19,3.4,10.0,102,5500,24,30,13950,164.0,1,0,0,0,1,0
2,99.4,176.6,66.4,54.3,2824,5,136,3.19,3.4,8.0,115,5500,18,22,17450,164.0,1,0,0,0,0,0
1,105.8,192.7,71.4,55.7,2844,5,136,3.19,3.4,8.5,110,5500,19,25,17710,158.0,1,0,0,0,1,0
1,105.8,192.7,71.4,55.9,3086,5,131,3.13,3.4,8.3,140,5500,17,20,23875,158.0,1,1,0,0,1,0
2,101.2,176.8,64.8,54.3,2395,4,108,3.5,2.8,8.8,101,5800,23,29,16430,192.0,1,0,1,0,0,1
0,101.2,176.8,64.8,54.3,2395,4,108,3.5,2.8,8.8,101,5800,23,29,16925,192.0,1,0,0,0,0,1
0,101.2,176.8,64.8,54.3,2710,6,164,3.31,3.19,9.0,121,4250,21,28,20970,188.0,1,0,1,0,0,1
0,101.2,176.8,64.8,54.3,2765,6,164,3.31,3.19,9.0,121,4250,21,28,21105,188.0,1,0,0,0,0,1
2,88.4,141.1,60.3,53.2,1488,3,61,2.91,3.03,9.5,48,5100,47,53,5151,121.0,1,0,1,0,1,0
1,94.5,155.9,63.6,52.0,1874,4,90,3.03,3.11,9.6,70,5400,38,43,6295,98.0,1,0,1,0,1,0
0,94.5,158.8,63.6,52.0,1909,4,90,3.03,3.11,9.6,70,5400,38,43,6575,81.0,1,0,0,0,1,0
1,93.7,157.3,63.8,50.8,1876,4,90,2.97,3.23,9.41,68,5500,37,41,5572,118.0,1,0,1,0,1,0
1,93.7,157.3,63.8,50.8,1876,4,90,2.97,3.23,9.4,68,5500,31,38,6377,118.0,1,0,1,0,1,0
1,93.7,157.3,63.8,50.8,2128,4,98,3.03,3.39,7.6,102,5500,24,30,7957,118.0,1,1,1,0,1,0
1,93.7,157.3,63.8,50.6,1967,4,90,2.97,3.23,9.4,68,5500,31,38,6229,148.0,1,0,0,0,1,0
1,93.7,157.3,63.8,50.6,1989,4,90,2.97,3.23,9.4,68,5500,31,38,6692,148.0,1,0,0,0,1,0
1,93.7,157.3,63.8,50.6,1989,4,90,2.97,3.23,9.4,68,5500,31,38,7609,148.0,1,0,0,0,1,0
-1,103.3,174.6,64.6,59.8,2535,4,122,3.34,3.46,8.5,88,5000,24,30,8921,110.0,1,0,0,0,1,0
3,95.9,173.2,66.3,50.2,2811,4,156,3.6,3.9,7.0,145,5000,19,24,12964,145.0,1,1,1,0,1,0
2,86.6,144.6,63.9,50.8,1713,4,92,2.91,3.41,9.6,58,4800,49,54,6479,137.0,1,0,1,0,1,0
2,86.6,144.6,63.9,50.8,1819,4,92,2.91,3.41,9.2,76,6000,31,38,6855,137.0,1,0,1,0,1,0
1,93.7,150.0,64.0,52.6,1837,4,79,2.91,3.07,10.1,60,5500,38,42,5399,101.0,1,0,1,0,1,0
1,93.7,150.0,64.0,52.6,1940,4,92,2.91,3.41,9.2,76,6000,30,34,6529,101.0,1,0,1,0,1,0
1,93.7,150.0,64.0,52.6,1956,4,92,2.91,3.41,9.2,76,6000,30,34,7129,101.0,1,0,1,0,1,0
0,96.5,163.4,64.0,54.5,2010,4,92,2.91,3.41,9.2,76,6000,30,34,7295,110.0,1,0,0,0,1,0
0,96.5,157.1,63.9,58.3,2024,4,92,2.92,3.41,9.2,76,6000,30,34,7295,78.0,1,0,0,0,1,0
0,96.5,167.5,65.2,53.3,2236,4,110,3.15,3.58,9.0,86,5800,27,33,7895,106.0,1,0,1,0,1,0
0,96.5,167.5,65.2,53.3,2289,4,110,3.15,3.58,9.0,86,5800,27,33,9095,106.0,1,0,1,0,1,0
0,96.5,175.4,65.2,54.1,2304,4,110,3.15,3.58,9.0,86,5800,27,33,8845,85.0,1,0,0,0,1,0
0,96.5,175.4,62.5,54.1,2372,4,110,3.15,3.58,9.0,86,5800,27,33,10295,85.0,1,0,0,0,1,0
0,96.5,175.4,65.2,54.1,2465,4,110,3.15,3.58,9.0,101,5800,24,28,12945,85.0,1,0,0,0,1,0
1,96.5,169.1,66.0,51.0,2293,4,110,3.15,3.58,9.1,100,5500,25,31,10345,107.0,1,0,1,0,1,0
0,113.0,199.6,69.6,52.8,4066,6,258,3.63,4.17,8.1,176,4750,15,19,32250,145.0,1,0,0,0,0,1
1,93.1,159.1,64.2,54.1,1890,4,91,3.03,3.15,9.0,68,5000,30,31,5195,104.0,1,0,1,0,1,0
1,93.1,159.1,64.2,54.1,1900,4,91,3.03,3.15,9.0,68,5000,31,38,6095,104.0,1,0,1,0,1,0
1,93.1,159.1,64.2,54.1,1905,4,91,3.03,3.15,9.0,68,5000,31,38,6795,104.0,1,0,1,0,1,0
1,93.1,166.8,64.2,54.1,1945,4,91,3.03,3.15,9.0,68,5000,31,38,6695,113.0,1,0,0,0,1,0
1,93.1,166.8,64.2,54.1,1950,4,91,3.08,3.15,9.0,68,5000,31,38,7395,113.0,1,0,0,0,1,0
3,95.3,169.0,65.7,49.6,2380,2,70,0.0,0.0,9.4,101,6000,17,23,10945,150.0,1,0,1,0,0,1
3,95.3,169.0,65.7,49.6,2380,2,70,0.0,0.0,9.4,101,6000,17,23,11845,150.0,1,0,1,0,0,1
3,95.3,169.0,65.7,49.6,2385,2,70,0.0,0.0,9.4,101,6000,17,23,13645,150.0,1,0,1,0,0,1
3,95.3,169.0,65.7,49.6,2500,2,80,0.0,0.0,9.4,135,6000,16,23,15645,150.0,1,0,1,0,0,1
1,98.8,177.8,66.5,53.7,2385,4,122,3.39,3.39,8.6,84,4800,26,32,8845,129.0,1,0,1,0,1,0
0,98.8,177.8,66.5,55.5,2410,4,122,3.39,3.39,8.6,84,4800,26,32,8495,115.0,1,0,0,0,1,0
1,98.8,177.8,66.5,53.7,2385,4,122,3.39,3.39,8.6,84,4800,26,32,10595,129.0,1,0,1,0,1,0
0,98.8,177.8,66.5,55.5,2410,4,122,3.39,3.39,8.6,84,4800,26,32,10245,115.0,1,0,0,0,1,0
0,98.8,177.8,66.5,55.5,2425,4,122,3.39,3.39,8.6,84,4800,26,32,11245,115.0,1,0,0,0,1,0
0,104.9,175.0,66.1,54.4,2670,4,140,3.76,3.16,8.0,120,5000,19,27,18280,118.0,1,0,0,0,0,1
-1,110.0,190.9,70.3,56.5,3515,5,183,3.58,3.64,21.5,123,4350,22,25,25552,93.0,0,1,0,0,0,1
-1,110.0,190.9,70.3,58.7,3750,5,183,3.58,3.64,21.5,123,4350,22,25,28248,93.0,0,1,0,0,0,1
0,106.7,187.5,70.3,54.9,3495,5,183,3.58,3.64,21.5,123,4350,22,25,28176,93.0,0,1,1,0,0,1
-1,115.6,202.6,71.7,56.3,3770,5,183,3.58,3.64,21.5,123,4350,22,25,31600,93.0,0,1,0,0,0,1
3,96.6,180.3,70.5,50.8,3685,8,234,3.46,3.1,8.3,155,4750,16,18,35056,142.0,1,0,1,0,0,1
2,93.7,157.3,64.4,50.8,1918,4,92,2.97,3.23,9.4,68,5500,37,41,5389,161.0,1,0,1,0,1,0
2,93.7,157.3,64.4,50.8,1944,4,92,2.97,3.23,9.4,68,5500,31,38,6189,161.0,1,0,1,0,1,0
2,93.7,157.3,64.4,50.8,2004,4,92,2.97,3.23,9.4,68,5500,31,38,6669,161.0,1,0,1,0,1,0
1,93.0,157.3,63.8,50.8,2145,4,98,3.03,3.39,7.6,102,5500,24,30,7689,161.0,1,1,1,0,1,0
3,96.3,173.0,65.4,49.4,2370,4,110,3.17,3.46,7.5,116,5500,23,30,9959,153.0,1,1,1,0,1,0
3,96.3,173.0,65.4,49.4,2328,4,122,3.35,3.46,8.5,88,5000,25,32,8499,153.0,1,0,1,0,1,0
1,96.3,172.4,65.4,51.6,2365,4,122,3.35,3.46,8.5,88,5000,25,32,6989,125.0,1,0,0,0,1,0
1,96.3,172.4,65.4,51.6,2405,4,122,3.35,3.46,8.5,88,5000,25,32,8189,125.0,1,0,0,0,1,0
1,96.3,172.4,65.4,51.6,2403,4,110,3.17,3.46,7.5,116,5500,23,30,9279,125.0,1,1,0,0,1,0
-1,96.3,172.4,65.4,51.6,2403,4,110,3.17,3.46,7.5,116,5500,23,30,9279,137.0,1,0,0,0,1,0
1,94.5,165.3,63.8,54.5,1889,4,97,3.15,3.29,9.4,69,5200,31,37,5499,128.0,1,0,1,0,1,0
1,94.5,165.3,63.8,54.5,2017,4,103,2.99,3.47,21.9,55,4800,45,50,7099,128.0,0,0,1,0,1,0
1,94.5,165.3,63.8,54.5,1918,4,97,3.15,3.29,9.4,69,5200,31,37,6649,128.0,1,0,1,0,1,0
1,94.5,165.3,63.8,54.5,1938,4,97,3.15,3.29,9.4,69,5200,31,37,6849,122.0,1,0,0,0,1,0
1,94.5,170.2,63.8,53.5,2024,4,97,3.15,3.29,9.4,69,5200,31,37,7349,103.0,1,0,0,0,1,0
1,94.5,165.3,63.8,54.5,1951,4,97,3.15,3.29,9.4,69,5200,31,37,7299,128.0,1,0,1,0,1,0
1,94.5,165.6,63.8,53.3,2028,4,97,3.15,3.29,9.4,69,5200,31,37,7799,128.0,1,0,1,0,1,0
1,94.5,165.3,63.8,54.5,1971,4,97,3.15,3.29,9.4,69,5200,31,37,7499,122.0,1,0,0,0,1,0
1,94.5,170.2,63.8,53.5,2037,4,97,3.15,3.29,9.4,69,5200,31,37,7999,103.0,1,0,0,0,1,0
2,95.1,162.4,63.8,53.3,2008,4,97,3.15,3.29,9.4,69,5200,31,37,8249,168.0,1,0,1,0,1,0
0,97.2,173.4,65.2,54.7,2324,4,120,3.33,3.47,8.5,97,5200,27,34,8949,106.0,1,0,0,0,1,0
0,97.2,173.4,65.2,54.7,2302,4,120,3.33,3.47,8.5,97,5200,27,34,9549,106.0,1,0,0,0,1,0
0,100.4,181.7,66.5,55.1,3095,6,181,3.43,3.27,9.0,152,5200,17,22,13499,128.0,1,0,0,0,1,0
0,100.4,184.6,66.5,56.1,3296,6,181,3.43,3.27,9.0,152,5200,17,22,14399,108.0,1,0,0,0,1,0
0,100.4,184.6,66.5,55.1,3060,6,181,3.43,3.27,9.0,152,5200,19,25,13499,108.0,1,0,0,0,1,0
3,91.3,170.7,67.9,49.7,3071,6,181,3.43,3.27,9.0,160,5200,19,25,17199,194.0,1,0,1,0,0,1
3,91.3,170.7,67.9,49.7,3139,6,181,3.43,3.27,7.8,200,5200,17,23,19699,194.0,1,1,1,0,0,1
1,99.2,178.5,67.9,49.7,3139,6,181,3.43,3.27,9.0,160,5200,19,25,18399,231.0,1,0,1,0,0,1
0,107.9,186.7,68.4,56.7,3020,4,120,3.46,3.19,8.4,97,5000,19,24,11900,161.0,1,0,0,0,0,1
0,107.9,186.7,68.4,56.7,3197,4,152,3.7,3.52,21.0,95,4150,28,33,13200,161.0,0,1,0,0,0,1
0,107.9,186.7,68.4,56.7,3075,4,120,3.46,2.19,8.4,95,5000,19,24,15580,161.0,1,0,0,0,0,1
0,107.9,186.7,68.4,56.7,3252,4,152,3.7,3.52,21.0,95,4150,28,33,16900,161.0,0,1,0,0,0,1
0,107.9,186.7,68.4,56.7,3075,4,120,3.46,3.19,8.4,97,5000,19,24,16630,161.0,1,0,0,0,0,1
0,107.9,186.7,68.4,56.7,3252,4,152,3.7,3.52,21.0,95,4150,28,33,17950,161.0,0,1,0,0,0,1
0,108.0,186.7,68.3,56.0,3130,4,134,3.61,3.21,7.0,142,5600,18,24,18150,161.0,1,1,0,0,0,1
1,93.7,157.3,63.8,50.8,1918,4,90,2.97,3.23,9.4,68,5500,37,41,5572,119.0,1,0,1,0,1,0
1,93.7,157.3,63.8,50.8,2128,4,98,3.03,3.39,7.6,102,5500,24,30,7957,119.0,1,1,1,0,1,0
1,93.7,157.3,63.8,50.6,1967,4,90,2.97,3.23,9.4,68,5500,31,38,6229,154.0,1,0,0,0,1,0
1,93.7,167.3,63.8,50.8,1989,4,90,2.97,3.23,9.4,68,5500,31,38,6692,154.0,1,0,0,0,1,0
1,93.7,167.3,63.8,50.8,2191,4,98,2.97,3.23,9.4,68,5500,31,38,7609,154.0,1,0,0,0,1,0
-1,103.3,174.6,64.6,59.8,2535,4,122,3.35,3.46,8.5,88,5000,24,30,8921,74.0,1,0,0,0,1,0
3,94.5,168.9,68.3,50.2,2778,4,151,3.94,3.11,9.5,143,5500,19,27,22018,186.0,1,0,1,0,0,1
3,99.1,186.6,66.5,56.1,2658,4,121,3.54,3.07,9.31,110,5250,21,28,11850,150.0,1,0,1,0,1,0
2,99.1,186.6,66.5,56.1,2695,4,121,3.54,3.07,9.3,110,5250,21,28,12170,104.0,1,0,0,0,1,0
3,99.1,186.6,66.5,56.1,2707,4,121,2.54,2.07,9.3,110,5250,21,28,15040,150.0,1,0,1,0,1,0
2,99.1,186.6,66.5,56.1,2758,4,121,3.54,3.07,9.3,110,5250,21,28,15510,104.0,1,0,0,0,1,0
3,99.1,186.6,66.5,56.1,2808,4,121,3.54,3.07,9.0,160,5500,19,26,18150,150.0,1,1,1,0,1,0
2,99.1,186.6,66.5,56.1,2847,4,121,3.54,3.07,9.0,160,5500,19,26,18620,104.0,1,1,0,0,1,0
2,93.7,156.9,63.4,53.7,2050,4,97,3.62,2.36,9.0,69,4900,31,36,5118,83.0,1,0,1,0,1,0
2,93.7,157.9,63.6,53.7,2120,4,108,3.62,2.64,8.7,73,4400,26,31,7053,83.0,1,0,1,0,1,0
2,93.3,157.3,63.8,55.7,2240,4,108,3.62,2.64,8.7,73,4400,26,31,7603,83.0,1,0,1,0,0,0
0,97.2,172.0,65.4,52.5,2145,4,108,3.62,2.64,9.5,82,4800,32,37,7126,102.0,1,0,0,0,1,0
0,97.2,172.0,65.4,52.5,2190,4,108,3.62,2.64,9.5,82,4400,28,33,7775,102.0,1,0,0,0,1,0
0,97.2,172.0,65.4,52.5,2340,4,108,3.62,2.64,9.0,94,5200,26,32,9960,102.0,1,0,0,0,1,0
0,97.0,172.0,65.4,54.3,2385,4,108,3.62,2.64,9.0,82,4800,24,25,9233,102.0,1,0,0,0,0,0
0,97.0,172.0,65.4,54.3,2510,4,108,3.62,2.64,7.7,111,4800,24,29,11259,102.0,1,1,0,0,0,0
0,97.0,173.5,65.4,53.0,2290,4,108,3.62,2.64,9.0,82,4800,28,32,7463,89.0,1,0,0,0,1,0
0,97.0,173.5,65.4,53.0,2455,4,108,3.62,2.64,9.0,94,5200,25,31,10198,89.0,1,0,0,0,1,0
0,96.9,173.6,65.4,54.9,2420,4,108,3.62,2.64,9.0,82,4800,23,29,8013,85.0,1,0,0,0,0,0
0,96.9,173.6,65.4,54.9,2650,4,108,3.62,2.64,7.7,111,4800,23,23,11694,85.0,1,1,0,0,0,0
1,95.7,158.7,63.6,54.5,1985,4,92,3.05,3.03,9.0,62,4800,35,39,5348,87.0,1,0,1,0,1,0
1,95.7,158.7,63.6,54.5,2040,4,92,3.05,3.03,9.0,62,4800,31,38,6338,87.0,1,0,1,0,1,0
1,95.7,158.7,63.6,54.5,2015,4,92,3.05,3.03,9.0,62,4800,31,38,6488,74.0,1,0,0,0,1,0
0,95.7,169.7,63.6,59.1,2280,4,92,3.05,3.03,9.0,62,4800,31,37,6918,77.0,1,0,0,0,1,0
0,95.7,169.7,63.6,59.1,2290,4,92,3.05,3.03,9.0,62,4800,27,32,7898,81.0,1,0,0,0,0,0
0,95.7,169.7,63.6,59.1,3110,4,92,3.05,3.03,9.0,62,4800,27,32,8778,91.0,1,0,0,0,0,0
0,95.7,166.3,64.4,53.0,2081,4,98,3.19,3.03,9.0,70,4800,30,37,6938,91.0,1,0,0,0,1,0
0,95.7,166.3,64.4,52.8,2109,4,98,3.19,3.03,9.0,70,4800,30,37,7198,91.0,1,0,0,0,1,0
0,95.7,166.3,64.4,53.0,2275,4,110,3.27,3.35,22.5,56,4500,34,36,7898,91.0,0,0,0,0,1,0
0,95.7,166.3,64.4,52.8,2275,4,110,3.27,3.35,22.5,56,4500,38,47,7788,91.0,0,0,0,0,1,0
0,95.7,166.3,64.4,53.0,2094,4,98,3.19,3.03,9.0,70,4800,38,47,7738,91.0,1,0,0,0,1,0
0,95.7,166.3,64.4,52.8,2122,4,98,3.19,3.03,9.0,70,4800,28,34,8358,91.0,1,0,0,0,1,0
0,95.7,166.3,64.4,52.8,2140,4,98,3.19,3.03,9.0,70,4800,28,34,9258,91.0,1,0,0,0,1,0
1,94.5,168.7,64.0,52.6,2169,4,98,3.19,3.03,9.0,70,4800,29,34,8058,168.0,1,0,1,0,0,1
1,94.5,168.7,64.0,52.6,2204,4,98,3.19,3.03,9.0,70,4800,29,34,8238,168.0,1,0,1,0,0,1
1,94.5,168.7,64.0,52.6,2265,4,98,3.24,3.08,9.4,112,6600,26,29,9298,168.0,1,0,1,0,0,1
1,94.5,168.7,64.0,52.6,2300,4,98,3.24,3.08,9.4,112,6600,26,29,9538,168.0,1,0,1,0,0,1
2,98.4,176.2,65.6,52.0,2540,4,146,3.62,3.5,9.3,116,4800,24,30,8449,134.0,1,0,1,0,0,1
2,98.4,176.2,65.6,52.0,2536,4,146,3.62,3.5,9.3,116,4800,24,30,9639,134.0,1,0,1,0,0,1
2,98.4,176.2,65.6,52.0,2551,4,146,3.62,3.5,9.3,116,4800,24,30,9989,134.0,1,0,1,0,0,1
2,98.4,176.2,65.6,52.0,2679,4,146,3.62,3.5,9.3,116,4800,24,30,11199,134.0,1,0,1,0,0,1
2,98.4,176.2,65.6,52.0,2714,4,146,3.62,3.5,9.3,116,4800,24,30,11549,134.0,1,0,1,0,0,1
2,98.4,176.2,65.6,53.0,2975,4,146,3.62,3.5,9.3,116,4800,24,30,17669,134.0,1,0,1,0,0,1
-1,102.4,175.6,66.5,54.9,2326,4,122,3.31,3.54,8.7,92,4200,29,34,8948,65.0,1,0,0,0,1,0
-1,102.4,175.6,66.5,54.9,2480,4,110,3.27,3.35,22.5,73,4500,30,33,10698,65.0,0,1,0,0,1,0
-1,102.4,175.6,66.5,53.9,2414,4,122,3.31,3.54,8.7,92,4200,27,32,9988,65.0,1,0,0,0,1,0
-1,102.4,175.6,66.5,54.9,2414,4,122,3.31,3.54,8.7,92,4200,27,32,10898,65.0,1,0,0,0,1,0
-1,102.4,175.6,66.5,53.9,2458,4,122,3.31,3.54,8.7,92,4200,27,32,11248,65.0,1,0,0,0,1,0
3,102.9,183.5,67.7,52.0,2976,6,171,3.27,3.35,9.3,161,5200,20,24,16558,197.0,1,0,1,0,0,1
3,102.9,183.5,67.7,52.0,3016,6,171,3.27,3.35,9.3,161,5200,19,24,15998,197.0,1,0,1,0,0,1
-1,104.5,187.8,66.5,54.1,3131,6,171,3.27,3.35,9.2,156,5200,20,24,15690,90.0,1,0,0,0,0,1
2,97.3,171.7,65.5,55.7,2261,4,97,3.01,3.4,23.0,52,4800,37,46,7775,122.0,0,0,1,0,1,0
2,97.3,171.7,65.5,55.7,2209,4,109,3.19,3.4,9.0,85,5250,27,34,7975,122.0,1,0,1,0,1,0
2,97.3,171.7,65.5,55.7,2264,4,97,3.01,3.4,23.0,52,4800,37,46,7995,94.0,0,0,0,0,1,0
2,97.3,171.7,65.5,55.7,2212,4,109,3.19,3.4,9.0,85,5250,27,34,8195,94.0,1,0,0,0,1,0
2,97.3,171.7,65.5,55.7,2275,4,109,3.19,3.4,9.0,85,5250,27,34,8495,94.0,1,0,0,0,1,0
2,97.3,171.7,65.5,55.7,2319,4,97,3.01,3.4,23.0,68,4500,37,42,9495,94.0,0,1,0,0,1,0
2,97.3,171.7,65.5,55.7,2300,4,109,3.19,3.4,10.0,100,5500,26,32,9995,94.0,1,0,0,0,1,0
3,94.5,165.7,64.0,51.4,2221,4,109,3.19,3.4,8.5,90,5500,24,29,9980,256.0,1,0,1,0,1,0
-2,104.3,188.8,67.2,56.2,2912,4,141,3.78,3.15,9.5,114,5400,23,28,12940,103.0,1,0,0,0,0,1
-1,104.3,188.8,67.2,57.5,3034,4,141,3.78,3.15,9.5,114,5400,23,28,13415,74.0,1,0,0,0,0,1
-2,104.3,188.8,67.2,56.2,2935,4,141,3.78,3.15,9.5,114,5400,24,28,15985,103.0,1,0,0,0,0,1
-1,104.3,188.8,67.2,57.5,3042,4,141,3.78,3.15,9.5,114,5400,24,28,16515,74.0,1,0,0,0,0,1
-2,104.3,188.8,67.2,56.2,3045,4,130,3.62,3.15,7.5,162,5100,17,22,18420,103.0,1,1,0,0,0,1
-1,104.3,188.8,67.2,57.5,3157,4,130,3.62,3.15,7.5,162,5100,17,22,18950,74.0,1,1,0,0,0,1
-1,109.1,188.8,68.9,55.5,2952,4,141,3.78,3.15,9.5,114,5400,23,28,16845,95.0,1,0,0,0,0,1
-1,109.1,188.8,68.8,55.5,3049,4,141,3.78,3.15,8.7,160,5300,19,25,19045,95.0,1,1,0,0,0,1
-1,109.1,188.8,68.9,55.5,3012,6,173,3.58,2.87,8.8,134,5500,18,23,21485,95.0,1,0,0,0,0,1
-1,109.1,188.8,68.9,55.5,3217,6,145,3.01,3.4,23.0,106,4800,26,27,22470,95.0,0,1,0,0,0,1
-1,109.1,188.8,68.9,55.5,3062,4,141,3.78,3.15,9.5,114,5400,19,25,22625,95.0,1,1,0,0,0,1
